Zipcode,Hello
13683,se:ko (say-go)
95480,camá-y
59031,Sho'daache Kahee
59043,Haaahe
59527,Kwey
59022,Sho'daache Kahee
59448,Oki
59521,Waachi'ye
59417,Oki
59016,Haaahe
59066,Sho'daache Kahee
59050,Sho'daache Kahee
13655,se:ko (say-go)
59255,Do kin
59213,Do kin
28719,osiyo
59089,Sho'daache Kahee
95546,Hey yung
49715,NA
31623,NA
49896,NA
45132,NA
54150,NA
54135,NA
86502,NA
86503,NA
86504,NA
86505,NA
86506,NA
86507,NA
86508,NA
86511,NA
86512,NA
86514,NA
86515,NA
86535,NA
86538,NA
86540,NA
86544,NA
86545,NA
86547,NA
86556,NA
85930,NA
86520,NA
86053,NA
86053,NA
86053,NA
86022,NA
86030,NA
86035,NA
86036,NA
86044,NA
86045,NA
86053,NA
85550,NA
85542,NA
85501,NA
85541,NA
85941,NA
85530,NA
85543,NA
85550,NA
85371,NA
85344,NA
85264,NA
85258,NA
85147,NA
85337,NA
86434,NA
86440,NA
85911,NA
85926,NA
86031,NA
86033,NA
86034,NA
86039,NA
86042,NA
86043,NA
86054,NA
86510,NA
85634,NA
85639,NA
85121,NA
85247,NA
85139,NA
85239,NA
84147,NA
85350,NA
89832,NA
89427,NA
89405,NA
00000,TESTVALUE1
00000,TESTVALUE2
00000,TESTVALUE3